,All Events Count,All Events % Parent,All Events % Grand Parent,All Events % Total,All Events Count/uL,All Events Mean GFP-A,All Events Max GFP-A,All Events Min GFP-A,Cells Count,Cells % Parent,Cells % Grand Parent,Cells % Total,Cells Count/uL,Cells Mean GFP-A,Cells Max GFP-A,Cells Min GFP-A,GFP+ Cells Count,GFP+ Cells % Parent,GFP+ Cells % Grand Parent,GFP+ Cells % Total,GFP+ Cells Count/uL,GFP+ Cells Mean GFP-A,GFP+ Cells Max GFP-A,GFP+ Cells Min GFP-A
20241002-GSIN-Unmixed-TubeRack_001-GSIN-A3 CMV-mEGFP-Signed-1,"10000","100.00","100.00","100.00","558.97","519580","5863031","-219","7397","73.97","73.97","73.97","413.47","402790","4426931","-219","3357","45.38","33.57","33.57","187.65","867575","4103897","31541"
20241002-GSIN-Unmixed-TubeRack_001-GSIN-A4 pV18-1,"10000","100.00","100.00","100.00","465.12","543127","5840190","-270","6544","65.44","65.44","65.44","304.37","378930","4607429","-233","2981","45.55","29.81","29.81","138.65","800108","4155224","31260"
20241002-GSIN-Unmixed-TubeRack_001-GSIN-A5 pV19-1,"10000","100.00","100.00","100.00","606.43","344771","5862167","-455","6601","66.01","66.01","66.01","400.30","224530","4591333","-455","2255","34.16","22.55","22.55","136.75","636217","4146679","31266"
20241002-GSIN-Unmixed-TubeRack_001-GSIN-A6 pV20-1,"10000","100.00","100.00","100.00","436.30","128178","5907923","-434","6853","68.53","68.53","68.53","299.00","76591","4403215","-434","1125","16.42","11.25","11.25","49.08","435549","4150323","31719"
20241002-GSIN-Unmixed-TubeRack_001-GSIN-B3 CMV-mEGFP-Signed-2,"10000","100.00","100.00","100.00","646.83","570001","5842935","-323","6263","62.63","62.63","62.63","405.11","383838","4435806","-323","2783","44.44","27.83","27.83","180.01","840776","4174397","31344"
20241002-GSIN-Unmixed-TubeRack_001-GSIN-B4 pV18-2,"10000","100.00","100.00","100.00","713.78","292603","5839461","-435","6258","62.58","62.58","62.58","446.68","189501","4459408","-435","1895","30.28","18.95","18.95","135.26","615727","4007979","31246"
20241002-GSIN-Unmixed-TubeRack_001-GSIN-B5 pV19-2,"10000","100.00","100.00","100.00","652.32","257118","5816779","-437","5887","58.87","58.87","58.87","384.02","180347","4389103","-293","1645","27.94","16.45","16.45","107.31","618177","3988851","31343"
20241002-GSIN-Unmixed-TubeRack_001-GSIN-B6 pV20-2,"10000","100.00","100.00","100.00","327.98","122493","5759601","-699","6689","66.89","66.89","66.89","219.38","78080","4477034","-409","1121","16.76","11.21","11.21","36.77","439683","4068011","31254"
20241002-GSIN-Unmixed-TubeRack_001-GSIN-C3 CMV-mEGFP-Signed-3,"10000","100.00","100.00","100.00","407.00","764987","5847244","-157","6083","60.83","60.83","60.83","247.58","507108","4751500","-157","3239","53.25","32.39","32.39","131.83","907585","4191918","31245"
20241002-GSIN-Unmixed-TubeRack_001-GSIN-C4 pV18-3,"10000","100.00","100.00","100.00","669.79","277135","5924779","-388","6614","66.14","66.14","66.14","443.00","189429","4566033","-388","1960","29.63","19.60","19.60","131.28","609615","4178046","31366"
20241002-GSIN-Unmixed-TubeRack_001-GSIN-C5 pV19-3,"10000","100.00","100.00","100.00","493.83","239472","5814250","-342","6270","62.70","62.70","62.70","309.63","178069","4394346","-225","1813","28.92","18.13","18.13","89.53","592157","4193757","31274"
20241002-GSIN-Unmixed-TubeRack_001-GSIN-C6 pV20-3,"10000","100.00","100.00","100.00","646.83","131650","5974247","-401","6760","67.60","67.60","67.60","437.26","76619","4415808","-401","1147","16.97","11.47","11.47","74.19","429563","4047683","31232"
20241002-GSIN-Unmixed-TubeRack_001-GSIN-D3 CMV-mEGFP-Signed-4,"10000","100.00","100.00","100.00","575.04","482745","5846591","-195","6546","65.46","65.46","65.46","376.42","359016","4786736","-195","2628","40.15","26.28","26.28","151.12","850324","4187964","31229"
20241002-GSIN-Unmixed-TubeRack_001-GSIN-D4 pV18-4,"10000","100.00","100.00","100.00","710.23","393252","5822147","-547","6640","66.40","66.40","66.40","471.59","300046","4882530","-300","2634","39.67","26.34","26.34","187.07","728588","4144899","31227"
20241002-GSIN-Unmixed-TubeRack_001-GSIN-D5 pV19-4,"10000","100.00","100.00","100.00","431.97","273705","5873937","-274","6347","63.47","63.47","63.47","274.17","201954","4499955","-274","2075","32.69","20.75","20.75","89.63","592775","3977776","31567"
20241002-GSIN-Unmixed-TubeRack_001-GSIN-D6 pV20-4,"10000","100.00","100.00","100.00","442.87","217267","5858891","-478","6009","60.09","60.09","60.09","266.12","131352","4706000","-354","1415","23.55","14.15","14.15","62.67","533860","4083298","31241"
20241002-GSIN-Unmixed-TubeRack_001-GSIN-D1 Unstained-4,"10000","100.00","100.00","100.00","66.66","-13","3256","-713","6857","68.57","68.57","68.57","45.71","-12","572","-576","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A"
20241002-GSIN-Unmixed-TubeRack_001-GSIN-D2 CMV-mEGFP-Unsigned-4,"10000","100.00","100.00","100.00","138.43","592119","5807881","-471","6089","60.89","60.89","60.89","84.29","399671","4589599","-471","2680","44.01","26.80","26.80","37.10","869574","4157980","31297"
20241002-GSIN-Unmixed-TubeRack_001-GSIN-C1 Unstained-3,"10000","100.00","100.00","100.00","412.03","13","10478","-746","6935","69.35","69.35","69.35","285.74","12","10478","-515","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A"
20241002-GSIN-Unmixed-TubeRack_001-GSIN-C2 CMV-mEGFP-Unsigned-3,"10000","100.00","100.00","100.00","642.67","386222","5801262","-697","6524","65.24","65.24","65.24","419.28","256679","4858138","-278","2237","34.29","22.37","22.37","143.77","729412","4180302","31365"
20241002-GSIN-Unmixed-TubeRack_001-GSIN-B1 Unstained-2,"10000","100.00","100.00","100.00","353.61","14","21905","-728","7100","71.00","71.00","71.00","251.06","11","21905","-578","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A"
20241002-GSIN-Unmixed-TubeRack_001-GSIN-B2 CMV-mEGFP-Unsigned-2,"10000","100.00","100.00","100.00","648.93","546934","5947098","-305","5984","59.84","59.84","59.84","388.32","313665","4596255","-305","2333","38.99","23.33","23.33","151.40","782609","4175170","31264"
20241002-GSIN-Unmixed-TubeRack_001-Reference Group-A1 Unstained (Cells),"10000","100.00","100.00","100.00","93.27","2","997","-795","6989","69.89","69.89","69.89","65.19","-1","599","-795","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A"
20241002-GSIN-Unmixed-TubeRack_001-Reference Group-A2 Green GFP (Cells),"10000","100.00","100.00","100.00","604.23","622610","5879801","-317","6853","68.53","68.53","68.53","414.08","431561","4935160","-284","3223","47.03","32.23","32.23","194.74","888548","4161831","31251"
