,All Events Count,All Events % Parent,All Events % Grand Parent,All Events % Total,All Events Count/uL,All Events Median mTagBFP2-A,All Events Mean mTagBFP2-A,All Events Max mTagBFP2-A,All Events SD mTagBFP2-A,All Events Min mTagBFP2-A,All Events % CV mTagBFP2-A,All Events Median GFP-A,All Events Mean GFP-A,All Events Max GFP-A,All Events SD GFP-A,All Events Min GFP-A,All Events % CV GFP-A,Cell Population Count,Cell Population % Parent,Cell Population % Grand Parent,Cell Population % Total,Cell Population Count/uL,Cell Population Median mTagBFP2-A,Cell Population Mean mTagBFP2-A,Cell Population Max mTagBFP2-A,Cell Population SD mTagBFP2-A,Cell Population Min mTagBFP2-A,Cell Population % CV mTagBFP2-A,Cell Population Median GFP-A,Cell Population Mean GFP-A,Cell Population Max GFP-A,Cell Population SD GFP-A,Cell Population Min GFP-A,Cell Population % CV GFP-A,Blue+ Count,Blue+ % Parent,Blue+ % Grand Parent,Blue+ % Total,Blue+ Count/uL,Blue+ Median mTagBFP2-A,Blue+ Mean mTagBFP2-A,Blue+ Max mTagBFP2-A,Blue+ SD mTagBFP2-A,Blue+ Min mTagBFP2-A,Blue+ % CV mTagBFP2-A,Blue+ Median GFP-A,Blue+ Mean GFP-A,Blue+ Max GFP-A,Blue+ SD GFP-A,Blue+ Min GFP-A,Blue+ % CV GFP-A,Green+ Count,Green+ % Parent,Green+ % Grand Parent,Green+ % Total,Green+ Count/uL,Green+ Median mTagBFP2-A,Green+ Mean mTagBFP2-A,Green+ Max mTagBFP2-A,Green+ SD mTagBFP2-A,Green+ Min mTagBFP2-A,Green+ % CV mTagBFP2-A,Green+ Median GFP-A,Green+ Mean GFP-A,Green+ Max GFP-A,Green+ SD GFP-A,Green+ Min GFP-A,Green+ % CV GFP-A,GFP-RFP+ Count,GFP-RFP+ % Parent,GFP-RFP+ % Grand Parent,GFP-RFP+ % Total,GFP-RFP+ Count/uL,GFP-RFP+ Median mTagBFP2-A,GFP-RFP+ Mean mTagBFP2-A,GFP-RFP+ Max mTagBFP2-A,GFP-RFP+ SD mTagBFP2-A,GFP-RFP+ Min mTagBFP2-A,GFP-RFP+ % CV mTagBFP2-A,GFP-RFP+ Median GFP-A,GFP-RFP+ Mean GFP-A,GFP-RFP+ Max GFP-A,GFP-RFP+ SD GFP-A,GFP-RFP+ Min GFP-A,GFP-RFP+ % CV GFP-A,All+ Count,All+ % Parent,All+ % Grand Parent,All+ % Total,All+ Count/uL,All+ Median mTagBFP2-A,All+ Mean mTagBFP2-A,All+ Max mTagBFP2-A,All+ SD mTagBFP2-A,All+ Min mTagBFP2-A,All+ % CV mTagBFP2-A,All+ Median GFP-A,All+ Mean GFP-A,All+ Max GFP-A,All+ SD GFP-A,All+ Min GFP-A,All+ % CV GFP-A,GFP-BFP+ Count,GFP-BFP+ % Parent,GFP-BFP+ % Grand Parent,GFP-BFP+ % Total,GFP-BFP+ Count/uL,GFP-BFP+ Median mTagBFP2-A,GFP-BFP+ Mean mTagBFP2-A,GFP-BFP+ Max mTagBFP2-A,GFP-BFP+ SD mTagBFP2-A,GFP-BFP+ Min mTagBFP2-A,GFP-BFP+ % CV mTagBFP2-A,GFP-BFP+ Median GFP-A,GFP-BFP+ Mean GFP-A,GFP-BFP+ Max GFP-A,GFP-BFP+ SD GFP-A,GFP-BFP+ Min GFP-A,GFP-BFP+ % CV GFP-A,mCYRFP1+ Count,mCYRFP1+ % Parent,mCYRFP1+ % Grand Parent,mCYRFP1+ % Total,mCYRFP1+ Count/uL,mCYRFP1+ Median mTagBFP2-A,mCYRFP1+ Mean mTagBFP2-A,mCYRFP1+ Max mTagBFP2-A,mCYRFP1+ SD mTagBFP2-A,mCYRFP1+ Min mTagBFP2-A,mCYRFP1+ % CV mTagBFP2-A,mCYRFP1+ Median GFP-A,mCYRFP1+ Mean GFP-A,mCYRFP1+ Max GFP-A,mCYRFP1+ SD GFP-A,mCYRFP1+ Min GFP-A,mCYRFP1+ % CV GFP-A,BFP-RFP+ Count,BFP-RFP+ % Parent,BFP-RFP+ % Grand Parent,BFP-RFP+ % Total,BFP-RFP+ Count/uL,BFP-RFP+ Median mTagBFP2-A,BFP-RFP+ Mean mTagBFP2-A,BFP-RFP+ Max mTagBFP2-A,BFP-RFP+ SD mTagBFP2-A,BFP-RFP+ Min mTagBFP2-A,BFP-RFP+ % CV mTagBFP2-A,BFP-RFP+ Median GFP-A,BFP-RFP+ Mean GFP-A,BFP-RFP+ Max GFP-A,BFP-RFP+ SD GFP-A,BFP-RFP+ Min GFP-A,BFP-RFP+ % CV GFP-A
20250312_GBR_Pre-Post-Mixing-Plate_001-Reference Group-A1 Unstained (Cells),"5000","100.00","100.00","100.00","235.40","4","3","523","103","-1198","3413.92","18","29","1879","205","-834","709.17","4402","88.04","88.04","88.04","207.25","5","5","402","95","-499","1842.45","8","12","960","183","-668","1555.71","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
20250312_GBR_Pre-Post-Mixing-Plate_001-Reference Group-G1 mTagBFP2 (Cells),"10000","100.00","100.00","100.00","199.24","120","18669","1607977","50550","-211114","270.76","107","1191","4923491","66775","-597","5607.26","8329","83.29","83.29","83.29","165.95","89","12386","741815","30849","-211114","249.07","85","1349","4923491","73166","-561","5421.82","2827","33.94","28.27","28.27","56.33","22880","36524","741815","43655","840","119.53","103","120","1195","221","-516","183.57","2","0.02","0.02","0.02","0.04","-66","-66","-21","64","-112","-96.71","562905","562905","1121025","789302","4784","140.22","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
20250312_GBR_Pre-Post-Mixing-Plate_001-Reference Group-F1 GFP (Cells),"10000","100.00","100.00","100.00","70.45","-61","-28026","19707","78342","-413577","-279.53","76664","1257561","5107468","1795794","-715","142.80","8959","89.59","89.59","89.59","63.12","-56","-22271","9426","67460","-391161","-302.90","48809","1155688","5094549","1719052","-715","148.75","156","1.74","1.56","1.56","1.10","1354","1733","9426","1245","839","71.84","2315974","2357666","4230217","972695","78375","41.26","4374","48.82","43.74","43.74","30.82","-42","-41","9426","538","-3837","-1315.69","510414","1010166","4194199","1155891","2529","114.43","229","5.24","2.56","2.29","1.61","782","790","1704","480","-841","60.79","2326668","2389320","4184835","1015782","327192","42.51","44","1.01","0.49","0.44","0.31","2590","2976","9426","1460","1726","49.04","2355925","2344049","4087862","969532","78375","41.36","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","516","5.76","5.16","5.16","3.64","-3871","-152370","9426","160512","-391161","-105.34","4230593","3711614","5094549","1480804","78375","39.90","138","1.54","1.38","1.38","0.97","1442","1846","9426","1281","898","69.41","2364677","2397402","4230217","1002718","78375","41.83"
20250312_GBR_Pre-Post-Mixing-Plate_001-Reference Group-H1 mCyRFP1 (Cells),"10000","100.00","100.00","100.00","159.54","-29","-20","12830","309","-4001","-1584.02","100","227","177607","2705","-2146","1190.06","8267","82.67","82.67","82.67","131.89","-28","-27","2653","143","-3462","-527.87","84","144","99819","1735","-1010","1201.96","17","0.21","0.17","0.17","0.27","1411","1521","2653","546","842","35.90","1734","1795","3101","525","1099","29.22","10","0.12","0.10","0.10","0.16","80","159","2653","1642","-3462","1034.75","24106","34792","99819","37178","2610","106.86","8","80.00","0.10","0.08","0.13","6","-424","132","1233","-3462","-290.70","27515","42777","99819","37587","3585","87.87","2","20.00","0.02","0.02","0.03","2490","2490","2653","230","2327","9.25","2855","2855","3101","348","2610","12.17","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1993","24.11","19.93","19.93","31.80","-36","-26","2653","239","-3462","-921.69","92","293","99819","3512","-1010","1200.71","15","0.18","0.15","0.15","0.24","1461","1610","2653","519","905","32.26","1738","1866","3101","515","1137","27.58"
20250312_GBR_Pre-Post-Mixing-Plate_001-Group_001-B1 pUC19-1,"10000","100.00","100.00","100.00","269.47","-10","-11","480","99","-764","-920.76","33","46","1417","202","-926","440.86","8836","88.36","88.36","88.36","238.10","-7","-8","392","92","-489","-1163.93","25","30","1387","184","-926","608.75","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
20250312_GBR_Pre-Post-Mixing-Plate_001-Group_001-C1 pUC19-2,"10000","100.00","100.00","100.00","166.53","-8","-9","456","103","-2275","-1113.66","40","52","2851","205","-834","392.92","8940","89.40","89.40","89.40","148.88","-6","-6","443","93","-442","-1542.63","33","36","1116","183","-834","502.02","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
20250312_GBR_Pre-Post-Mixing-Plate_001-Group_001-D1 pUC19-3,"10000","100.00","100.00","100.00","184.16","-18","-20","425","99","-1355","-493.07","65","99","114274","1285","-739","1293.26","8904","89.04","89.04","89.04","163.98","-16","-16","425","91","-424","-553.81","56","80","114274","1353","-653","1684.04","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2","0.02","0.02","0.02","0.04","-21","-21","18","56","-61","-262.02","84349","84349","114274","42321","54424","50.17","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
20250312_GBR_Pre-Post-Mixing-Plate_001-Group_001-E1 pUC19-4,"10000","100.00","100.00","100.00","186.19","-22","-26","451","104","-1355","-397.16","78","98","2058","229","-716","234.15","8649","86.49","86.49","86.49","161.03","-18","-20","433","93","-544","-456.77","64","72","1258","193","-716","269.63","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
20250312_GBR_Pre-Post-Mixing-Plate_001-Group_001-A2 GFP+BFP-1,"10000","100.00","100.00","100.00","288.43","35","-611","104804","22968","-364730","-3758.18","441","303416","5146026","913148","-571","300.96","8916","89.16","89.16","89.16","257.17","32","73","104804","17018","-343065","23386.21","400","260759","5060897","826680","-571","317.03","1444","16.20","14.44","14.44","41.65","7101","10247","104804","10315","852","100.66","726656","1137739","4407403","1093026","383","96.07","2021","22.67","20.21","20.21","58.29","3553","7235","104804","9713","-208","134.25","364147","789519","4191532","1005893","2533","127.41","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","26","1.29","0.29","0.26","0.75","10042","12799","32149","8341","3369","65.17","1918976","1968258","4071276","1172299","364700","59.56","1250","61.85","14.02","12.50","36.05","8280","11180","104804","10350","1721","92.58","837437","1200612","4191532","1042298","3006","86.81","41","0.46","0.41","0.41","1.18","5723","-84206","32149","131782","-343065","-156.50","3300084","3076612","5060897","1744067","364700","56.69","41","0.46","0.41","0.41","1.18","10222","12362","32164","8195","3010","66.29","1770240","1850894","4071276","1157296","364700","62.53"
20250312_GBR_Pre-Post-Mixing-Plate_001-Group_001-A3 BFP+RFP-1,"10000","100.00","100.00","100.00","155.55","68","7426","870634","22887","-44029","308.20","41","1637","4481402","52710","-13467","3219.96","8584","85.84","85.84","85.84","133.52","56","5527","280108","15670","-44029","283.50","28","1606","4481402","56599","-3779","3524.85","2188","25.49","21.88","21.88","34.03","13780","21624","280108","24797","840","114.67","46","4162","2060393","58154","-3779","1397.20","123","1.43","1.23","1.23","1.91","27112","36173","221041","35358","562","97.75","15440","73415","2060393","235590","2609","320.90","1","0.81","0.01","0.01","0.02","1463","1463","1463","0","1463","0.00","9521","9521","9521","0","9521","0.00","109","88.62","1.27","1.09","1.70","33013","40309","221041","35480","1836","88.02","14359","30008","132542","32882","2761","109.58","10","8.13","0.12","0.10","0.16","3438","5079","12671","4032","1969","79.40","248597","489414","2060393","700051","2609","143.04","1765","20.56","17.65","17.65","27.45","18336","25912","280108","25780","122","99.49","36","1897","132542","10882","-3779","573.54","1874","21.83","18.74","18.74","29.15","17181","24715","280108","25494","901","103.15","37","1791","132542","10569","-3779","590.08"
