,All Events Count,All Events % Parent,All Events % Grand Parent,All Events % Total,All Events Count/uL,All Events Median mTagBFP2-A,All Events Mean mTagBFP2-A,All Events Max mTagBFP2-A,All Events SD mTagBFP2-A,All Events Min mTagBFP2-A,All Events % CV mTagBFP2-A,All Events Median GFP-A,All Events Mean GFP-A,All Events Max GFP-A,All Events SD GFP-A,All Events Min GFP-A,All Events % CV GFP-A,Cell Population Count,Cell Population % Parent,Cell Population % Grand Parent,Cell Population % Total,Cell Population Count/uL,Cell Population Median mTagBFP2-A,Cell Population Mean mTagBFP2-A,Cell Population Max mTagBFP2-A,Cell Population SD mTagBFP2-A,Cell Population Min mTagBFP2-A,Cell Population % CV mTagBFP2-A,Cell Population Median GFP-A,Cell Population Mean GFP-A,Cell Population Max GFP-A,Cell Population SD GFP-A,Cell Population Min GFP-A,Cell Population % CV GFP-A,Blue+ Count,Blue+ % Parent,Blue+ % Grand Parent,Blue+ % Total,Blue+ Count/uL,Blue+ Median mTagBFP2-A,Blue+ Mean mTagBFP2-A,Blue+ Max mTagBFP2-A,Blue+ SD mTagBFP2-A,Blue+ Min mTagBFP2-A,Blue+ % CV mTagBFP2-A,Blue+ Median GFP-A,Blue+ Mean GFP-A,Blue+ Max GFP-A,Blue+ SD GFP-A,Blue+ Min GFP-A,Blue+ % CV GFP-A,Green+ Count,Green+ % Parent,Green+ % Grand Parent,Green+ % Total,Green+ Count/uL,Green+ Median mTagBFP2-A,Green+ Mean mTagBFP2-A,Green+ Max mTagBFP2-A,Green+ SD mTagBFP2-A,Green+ Min mTagBFP2-A,Green+ % CV mTagBFP2-A,Green+ Median GFP-A,Green+ Mean GFP-A,Green+ Max GFP-A,Green+ SD GFP-A,Green+ Min GFP-A,Green+ % CV GFP-A,All+ Count,All+ % Parent,All+ % Grand Parent,All+ % Total,All+ Count/uL,All+ Median mTagBFP2-A,All+ Mean mTagBFP2-A,All+ Max mTagBFP2-A,All+ SD mTagBFP2-A,All+ Min mTagBFP2-A,All+ % CV mTagBFP2-A,All+ Median GFP-A,All+ Mean GFP-A,All+ Max GFP-A,All+ SD GFP-A,All+ Min GFP-A,All+ % CV GFP-A,mCYRFP1+ Count,mCYRFP1+ % Parent,mCYRFP1+ % Grand Parent,mCYRFP1+ % Total,mCYRFP1+ Count/uL,mCYRFP1+ Median mTagBFP2-A,mCYRFP1+ Mean mTagBFP2-A,mCYRFP1+ Max mTagBFP2-A,mCYRFP1+ SD mTagBFP2-A,mCYRFP1+ Min mTagBFP2-A,mCYRFP1+ % CV mTagBFP2-A,mCYRFP1+ Median GFP-A,mCYRFP1+ Mean GFP-A,mCYRFP1+ Max GFP-A,mCYRFP1+ SD GFP-A,mCYRFP1+ Min GFP-A,mCYRFP1+ % CV GFP-A,GFP-RFP+ Count,GFP-RFP+ % Parent,GFP-RFP+ % Grand Parent,GFP-RFP+ % Total,GFP-RFP+ Count/uL,GFP-RFP+ Median mTagBFP2-A,GFP-RFP+ Mean mTagBFP2-A,GFP-RFP+ Max mTagBFP2-A,GFP-RFP+ SD mTagBFP2-A,GFP-RFP+ Min mTagBFP2-A,GFP-RFP+ % CV mTagBFP2-A,GFP-RFP+ Median GFP-A,GFP-RFP+ Mean GFP-A,GFP-RFP+ Max GFP-A,GFP-RFP+ SD GFP-A,GFP-RFP+ Min GFP-A,GFP-RFP+ % CV GFP-A,BFP-RFP+ Count,BFP-RFP+ % Parent,BFP-RFP+ % Grand Parent,BFP-RFP+ % Total,BFP-RFP+ Count/uL,BFP-RFP+ Median mTagBFP2-A,BFP-RFP+ Mean mTagBFP2-A,BFP-RFP+ Max mTagBFP2-A,BFP-RFP+ SD mTagBFP2-A,BFP-RFP+ Min mTagBFP2-A,BFP-RFP+ % CV mTagBFP2-A,BFP-RFP+ Median GFP-A,BFP-RFP+ Mean GFP-A,BFP-RFP+ Max GFP-A,BFP-RFP+ SD GFP-A,BFP-RFP+ Min GFP-A,BFP-RFP+ % CV GFP-A,GFP-BFP+ Count,GFP-BFP+ % Parent,GFP-BFP+ % Grand Parent,GFP-BFP+ % Total,GFP-BFP+ Count/uL,GFP-BFP+ Median mTagBFP2-A,GFP-BFP+ Mean mTagBFP2-A,GFP-BFP+ Max mTagBFP2-A,GFP-BFP+ SD mTagBFP2-A,GFP-BFP+ Min mTagBFP2-A,GFP-BFP+ % CV mTagBFP2-A,GFP-BFP+ Median GFP-A,GFP-BFP+ Mean GFP-A,GFP-BFP+ Max GFP-A,GFP-BFP+ SD GFP-A,GFP-BFP+ Min GFP-A,GFP-BFP+ % CV GFP-A
20250326-iVector-Plate_001-Reference Group-A1 Unstained (Cells),"10000","100.00","100.00","100.00","226.24","2","1","505","89","-657","9319.39","-3","4","4295","185","-1103","4353.64","9399","93.99","93.99","93.99","212.65","4","2","423","88","-359","3574.67","-5","0","1482","176","-1103","51254.57","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
20250326-iVector-Plate_001-Reference Group-A3 mTagBFP2 (Cells),"20000","100.00","100.00","100.00","381.46","30","2389","1111549","15404","-343680","644.72","5","2098","5017228","89579","-2363","4268.78","18643","93.22","93.22","93.22","355.58","30","2012","552022","10916","-136257","542.48","2","1925","4916146","85011","-1050","4415.54","2310","12.39","11.55","11.55","44.06","7006","16239","552022","26735","552","164.63","10","6009","3737020","134480","-782","2237.94","59","0.32","0.30","0.30","1.13","28503","43937","209296","45834","-317","104.32","15012","365600","3850690","1009795","2205","276.20","1","1.69","0.01","0.01","0.02","7455","7455","7455","0","7455","0.00","3737020","3737020","3737020","0","3737020","0.00","8","0.04","0.04","0.04","0.15","78","800","7455","2825","-1298","353.04","159727","1301895","3737020","1722184","-579","132.28","4","0.02","0.02","0.02","0.08","932","2440","7455","3352","440","137.37","3179877","2603506","3737020","1550043","317250","59.54","3","0.02","0.02","0.02","0.06","941","3107","7455","3766","924","121.22","3305715","3365591","3737020","345405","3054039","10.26","49","0.26","0.25","0.25","0.93","35361","49886","209296","47364","840","94.95","16542","281954","3737020","889121","3252","315.34"
20250326-iVector-Plate_001-Reference Group-A2 GFP (Cells),"10000","100.00","100.00","100.00","495.54","4","-10540","6740","48748","-352599","-462.53","677","570222","5143814","1338855","-616","234.80","9250","92.50","92.50","92.50","458.37","5","-9494","6169","45559","-351963","-479.87","650","544792","5136917","1310118","-616","240.48","119","1.29","1.19","1.19","5.90","966","1311","6169","974","552","74.32","1962902","1942441","4075456","1162508","54","59.85","2589","27.99","25.89","25.89","128.30","33","75","6169","383","-1501","514.24","277607","836071","4193633","1103027","2081","131.93","39","1.51","0.42","0.39","1.93","1647","2191","6169","1148","1253","52.40","2492515","2225636","3827348","1041863","411556","46.81","410","4.43","4.10","4.10","20.32","-174622","-154532","6169","138117","-351963","-89.38","4941718","3957680","5136917","1464121","184361","36.99","407","4.40","4.07","4.07","20.17","-176777","-155675","6169","137979","-351963","-88.63","4942547","3974218","5136917","1456565","184361","36.65","63","0.68","0.63","0.63","3.12","1366","1737","6169","1075","829","61.85","2354905","2204924","4075456","1072310","411556","48.63","101","1.09","1.01","1.01","5.00","1065","1401","6169","970","630","69.22","1962902","1946326","4075456","1165318","52418","59.87"
20250326-iVector-Plate_001-Reference Group-A4 mCyRFP1 (Cells),"20000","100.00","100.00","100.00","278.94","5","13","37655","421","-2800","3268.30","-6","2","17646","298","-3376","12380.37","18500","92.50","92.50","92.50","258.02","7","16","37655","426","-2800","2681.72","-8","-4","17646","276","-3376","-7045.85","102","0.55","0.51","0.51","1.42","864","2292","37655","5031","555","219.50","654","994","14576","1688","-388","169.90","14","0.08","0.07","0.07","0.20","2651","2545","4190","1068","393","41.96","3513","5016","17646","4785","2210","95.40","12","85.71","0.06","0.06","0.17","2805","2875","4190","715","2048","24.88","3219","3167","4624","723","2210","22.82","4693","25.37","23.47","23.47","65.45","9","17","4190","269","-2800","1594.24","-30","-17","17646","465","-3376","-2704.04","13","0.07","0.07","0.07","0.18","2685","2563","4190","1109","393","43.28","3519","5232","17646","4909","2419","93.83","43","0.23","0.22","0.22","0.60","1283","1681","4190","889","812","52.87","1042","1463","4624","1225","-176","83.74","7","0.04","0.04","0.04","0.10","3161","3053","4190","1130","739","37.03","3643","5320","14576","4101","3507","77.08"
20250326-iVector-Plate_001-Group_001-B1 pUC19-1,"10000","100.00","100.00","100.00","184.67","5","6","4662","101","-2085","1609.28","-8","2","53335","562","-1024","23399.13","9289","92.89","92.89","92.89","171.54","6","7","4662","101","-2085","1401.04","-8","1","53335","581","-1024","83681.88","1","0.01","0.01","0.01","0.02","4662","4662","4662","0","4662","0.00","53335","53335","53335","0","53335","0.00","2","0.02","0.02","0.02","0.04","2386","2386","4662","3218","111","134.85","28286","28286","53335","35424","3238","125.23","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1","0.01","0.01","0.01","0.02","4662","4662","4662","0","4662","0.00","53335","53335","53335","0","53335","0.00"
20250326-iVector-Plate_001-Group_001-B2 GFP-1,"10000","100.00","100.00","100.00","277.55","19","-27265","11767","77152","-353312","-282.97","25555","1229001","5118032","1818700","-5471","147.98","9131","91.31","91.31","91.31","253.43","22","-24705","7373","72149","-353312","-292.05","13567","1191300","5118032","1796439","-5471","150.80","397","4.35","3.97","3.97","11.02","815","1040","7373","678","551","65.23","2406469","2431923","4220206","1068641","-179","43.94","4271","46.77","42.71","42.71","118.54","99","179","7373","411","-4317","229.73","361738","970489","4194142","1195708","2081","123.21","67","1.57","0.73","0.67","1.86","1665","2006","7373","972","1251","48.46","3145612","2971252","4188242","938498","922053","31.59","929","10.17","9.29","9.29","25.78","-204504","-187365","7373","128055","-353312","-68.35","4963179","4399793","5118032","1157795","-179","26.31","925","10.13","9.25","9.25","25.67","-205089","-188178","7373","127731","-353312","-67.88","4964205","4411245","5118032","1145005","289165","25.96","141","1.54","1.41","1.41","3.91","1251","1509","7373","843","814","55.86","3053214","2763496","4220206","1023481","663256","37.04","320","3.50","3.20","3.20","8.88","901","1149","7373","714","622","62.09","2606509","2541589","4220206","1051509","60807","41.37"
20250326-iVector-Plate_001-Group_001-B3 mTagBFP2-1,"10000","100.00","100.00","100.00","497.51","60","5507","497456","20582","-78360","373.73","1","968","4631547","60591","-1522","6260.41","9233","92.33","92.33","92.33","459.35","60","4855","497456","17110","-78360","352.43","-3","602","4631547","48372","-1522","8030.83","2138","23.16","21.38","21.38","106.37","10278","20888","497456","30448","551","145.77","4","279","105894","3767","-708","1348.06","26","0.28","0.26","0.26","1.29","32058","41567","253657","47858","243","115.14","14273","35629","350180","69287","2515","194.47","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1","0.01","0.01","0.01","0.05","-5133","-5133","-5133","0","-5133","0.00","-1522","-1522","-1522","0","-1522","0.00","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0.00","0.00","0.00","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","23","0.25","0.23","0.23","1.14","35571","45852","253657","49193","6483","107.29","16024","24810","105894","27155","3644","109.45"
20250326-iVector-Plate_001-Group_001-B4 mCyRFP1-1,"10000","100.00","100.00","100.00","460.62","4","6","10356","176","-5730","2724.09","1","7","10631","235","-2451","3186.64","9338","93.38","93.38","93.38","430.12","5","8","10356","167","-5730","2223.63","-2","0","10631","223","-2451","452126.24","17","0.18","0.17","0.17","0.78","1000","1754","10356","2306","558","131.48","1425","1842","10631","2368","405","128.56","4","0.04","0.04","0.04","0.18","2387","4281","10356","4054","1993","94.71","2431","4432","10631","4136","2236","93.31","4","100.00","0.04","0.04","0.18","2387","4281","10356","4054","1993","94.71","2431","4432","10631","4136","2236","93.31","1314","14.07","13.14","13.14","60.53","7","23","10356","387","-5730","1656.02","-28","-13","10631","409","-2451","-3103.06","2","0.02","0.02","0.02","0.09","6346","6346","10356","5670","2337","89.35","6616","6616","10631","5677","2602","85.80","10","0.11","0.10","0.10","0.46","1827","2519","10356","2806","834","111.40","1752","2638","10631","2854","996","108.18","1","0.01","0.01","0.01","0.05","10356","10356","10356","0","10356","0.00","10631","10631","10631","0","10631","0.00"
20250326-iVector-Plate_001-Group_001-B5 GFP+BFP-2,"10000","100.00","100.00","100.00","509.94","45","-1018","121490","20469","-324188","-2011.24","331","331896","5087009","953383","-516","287.25","9183","91.83","91.83","91.83","468.28","44","-643","71845","18143","-321202","-2822.50","322","313511","5080964","918841","-516","293.08","1676","18.25","16.76","16.76","85.47","4843","6992","71845","7269","552","103.96","784485","1178139","4454068","1140225","68","96.78","2281","24.84","22.81","22.81","116.32","2380","5029","71845","6849","-1361","136.20","323699","822203","4143616","1032028","2074","125.52","70","3.07","0.76","0.70","3.57","10977","14385","52681","10055","2438","69.90","2475504","2419043","4143616","1024130","595912","42.34","190","2.07","1.90","1.90","9.69","5363","-56427","52681","98244","-321202","-174.11","3474550","3172381","5080964","1661224","-342","52.37","185","2.01","1.85","1.85","9.43","5367","-58157","52681","98972","-321202","-170.18","3508272","3232023","5080964","1622446","3150","50.20","111","1.21","1.11","1.11","5.66","9457","12489","52681","9696","1137","77.64","2007219","2214317","4329351","1134601","252683","51.24","1635","17.80","16.35","16.35","83.38","5012","7160","71845","7284","623","101.73","812075","1207583","4454068","1139352","3291","94.35"
20250326-iVector-Plate_001-Group_001-B6 GFP+RFP-2,"10000","100.00","100.00","100.00","459.77","-2","-5135","9810","33045","-354359","-643.56","376","372037","5089457","1058502","-582","284.52","9319","93.19","93.19","93.19","428.46","-2","-4664","6442","31348","-351562","-672.06","361","353926","5089457","1029145","-582","290.78","47","0.50","0.47","0.47","2.16","1002","1371","6442","1064","557","77.66","1745658","1797672","4249799","1268588","45156","70.57","2208","23.69","22.08","22.08","101.52","-37","-104","3730","408","-1965","-393.04","310861","825781","4194104","1071119","2079","129.71","13","0.59","0.14","0.13","0.60","1679","2121","3730","780","1292","36.80","2582889","2511860","3604974","874421","1096808","34.81","959","10.29","9.59","9.59","44.09","-487","-40492","6442","87406","-351562","-215.86","2480315","2688632","5089457","1570399","40","58.41","957","10.27","9.57","9.57","44.00","-487","-40577","6442","87477","-351562","-215.58","2480315","2694804","5089457","1565868","17137","58.11","26","0.28","0.26","0.26","1.20","1332","1770","6442","1233","817","69.63","2610993","2577202","4249799","955117","660333","37.06","43","0.46","0.43","0.43","1.98","1020","1444","6442","1085","627","75.11","1790263","1844001","4249799","1310935","45156","71.09"
