,# Plasmids per cell,Percent Positive,Plasmid
20241002-GSIN-Unmixed-TubeRack_001-GSIN-D2 CMV-mEGFP-Unsigned-4,734936.9653034577,44.01,Unsigned
20241002-GSIN-Unmixed-TubeRack_001-GSIN-C2 CMV-mEGFP-Unsigned-3,734936.9653034577,34.29,Unsigned
20241002-GSIN-Unmixed-TubeRack_001-GSIN-B2 CMV-mEGFP-Unsigned-2,734936.9653034577,38.99,Unsigned
20241002-GSIN-Unmixed-TubeRack_001-GSIN-A3 CMV-mEGFP-Signed-1,698774.0703995731,45.38,Signed
20241002-GSIN-Unmixed-TubeRack_001-GSIN-B3 CMV-mEGFP-Signed-2,698774.0703995731,44.44,Signed
20241002-GSIN-Unmixed-TubeRack_001-GSIN-C3 CMV-mEGFP-Signed-3,698774.0703995731,53.25,Signed
20241002-GSIN-Unmixed-TubeRack_001-GSIN-D3 CMV-mEGFP-Signed-4,698774.0703995731,40.15,Signed
20241002-GSIN-Unmixed-TubeRack_001-GSIN-A4 pV18-1,500850.4143950831,45.55,pV18
20241002-GSIN-Unmixed-TubeRack_001-GSIN-B4 pV18-2,500850.4143950831,30.28,pV18
20241002-GSIN-Unmixed-TubeRack_001-GSIN-C4 pV18-3,500850.4143950831,29.63,pV18
20241002-GSIN-Unmixed-TubeRack_001-GSIN-D4 pV18-4,500850.4143950831,39.67,pV18
20241002-GSIN-Unmixed-TubeRack_001-GSIN-A5 pV19-1,303458.6322189216,34.16,pV19
20241002-GSIN-Unmixed-TubeRack_001-GSIN-B5 pV19-2,303458.6322189216,27.94,pV19
20241002-GSIN-Unmixed-TubeRack_001-GSIN-C5 pV19-3,303458.6322189216,28.92,pV19
20241002-GSIN-Unmixed-TubeRack_001-GSIN-D5 pV19-4,303458.6322189216,32.69,pV19
20241002-GSIN-Unmixed-TubeRack_001-GSIN-A6 pV20-1,221987.52932893197,16.42,pV20
20241002-GSIN-Unmixed-TubeRack_001-GSIN-B6 pV20-2,221987.52932893197,16.76,pV20
20241002-GSIN-Unmixed-TubeRack_001-GSIN-C6 pV20-3,221987.52932893197,16.97,pV20
20241002-GSIN-Unmixed-TubeRack_001-GSIN-D6 pV20-4,221987.52932893197,23.55,pV20
